parameter,label,baseline_value,best_value,baseline_rmse,best_rmse,improvement_pct
nu,Poisson ratio ν,0.25,0.2875,49.20049579884035,47.49247408121877,3.4715538733693854
alpha,Biot coefficient α,0.8,0.8600000000000002,49.20049579884035,48.681504981679204,1.054848754539134
a_fixed,Semi-axis a (m),150.0,159.375,49.20049579884035,48.74763703198614,0.9204353726551
b_fixed,Semi-axis b (m),290.0,275.0,49.20049579884035,49.16240960646565,0.07741018003236629
c_fixed,Semi-axis c (m),2.5,2.1875,49.20049579884035,51.51386406968534,-4.701920647920616
x0_prime,Center x₀′ (m),-125.0,91.5,49.20049579884035,45.479947743153005,7.5620133400668665
y0_prime,Center y₀′ (m),4.0,4.0,49.20049579884035,49.20049579884035,0.0
h,Depth h (m),518.29,485.89687499999997,49.20049579884035,47.52649430326384,3.402407777394731
pmax,Peak pressure pmax (MPa),800000.0,950000.0,49.20049579884035,49.18152981223562,0.038548364801601474
tpeak,Time to peak tpeak (hours),393333.0,368749.6875,49.20049579884035,49.05912317340091,0.28733983904847105
d,Decay rate d,0.4,0.1,49.20049579884035,49.007053881370716,0.39317066693907965
E,Young’s modulus E (GPa),2000000000.0,2000000000.0000002,49.20049579884035,49.20049579884035,0.0
theta_deg,Rotation angle θ (deg),15.0,78.75,49.20049579884035,46.047058684437005,6.40936044078985
