param,S1,S1_conf,ST,ST_conf
a,-0.0004579731828352519,0.027725606849013963,0.3606707616629688,0.6981686033235036
b,-0.010047194921146195,0.0420155775362695,0.11489809003205922,0.45319372677193565
c,-0.06860401508224356,0.087756008873909,4.814244087840119,6.429084897355019
pmax,0.004399374556800857,0.01704395435126322,0.055842989101471285,0.047945223248507016
alpha,0.009692415922947397,0.010227309382144388,0.05240871427630478,0.049182668855032
E,0.02649549174941667,0.033287761572181114,0.48526439292462586,0.3665839048475519
nu,0.0017323557878839893,0.005539410458031215,0.001084756010443116,0.0031667656905525277
h,0.07595238980121778,0.16329037401097957,0.7142267471302158,0.5425538621769765
theta_deg,-0.00017196215708432374,0.0029994414184210945,0.0005068478491842904,0.0016051447744517698
x0_prime,-0.0005672579966956539,0.03423758355188428,0.10600257187456803,0.3478874340304752
y0_prime,0.0032665100452479202,0.027252992218873867,0.07789507549232266,0.1605225641278156
