param,S1,S1_conf,ST,ST_conf
a,0.00038088158041537295,0.006996791357179663,0.0299733488512576,0.27293649697399036
b,-0.0034052247647562697,0.035011249870449485,0.10092760645799169,0.9929524650298732
c,-0.002180617856745431,0.08669742302507819,0.03764602776472513,1.137255494868637
pmax,-0.0005193713761116655,0.011822071653178366,0.007169946526943665,0.05746103977648802
alpha,0.0018904415312916744,0.01640569243205601,0.003886345413100332,0.041915980127128855
E,0.0006879895126703689,0.020571355399518078,0.04228237036590135,0.43427799405441025
nu,0.0003335087160131001,0.0028533142611753375,0.00033164860254520186,0.003068090955998043
h,0.0213179074081248,0.2617376775542182,0.057556738508333004,0.5745582679882258
theta_deg,0.00113728749563696,0.012105343554326232,0.012290678607440639,0.12157489855731929
x0_prime,-0.001396602849292072,0.05953580095028648,0.0750366696398693,1.3520541624419682
y0_prime,-0.0022019871646256207,0.05279654054783092,0.09375831833384078,0.8249627622597062
