param,S1,S1_conf,ST,ST_conf
a,0.0038148906951481617,0.015087013960331791,0.040179764706534164,0.11006079315063806
b,-0.003149082600222414,0.0246481651940289,0.02595069700404502,0.12413919471139792
c,-0.03935973871031313,0.10857176810706806,3.5724916323625915,8.91128635990815
pmax,0.0015296001532798065,0.009772668565366833,0.015354548445323208,0.03471300802675084
alpha,0.004988940824702344,0.008904718463844124,0.020038702259448798,0.04469050597533359
E,0.01173485166251286,0.024518116660365706,0.17607150917018968,0.36851641473702845
nu,0.0006382362192020931,0.0025056015765836026,0.0002339557960941443,0.0010906736808048586
h,0.024470804469522572,0.07912631235216415,0.29938080607819084,0.6512901164499002
theta_deg,0.0015063654254483807,0.00386166797794793,0.003310538767731219,0.007980262882205205
x0_prime,-0.009345982977333434,0.024325524101842046,0.10484663984014489,0.2447572537496281
y0_prime,0.001348101427208293,0.013755478189162656,0.04558836104103682,0.20375699502482142
