param,S1,S1_conf,ST,ST_conf
a,0.0007296012137593351,0.026670105828441246,0.13669921604633412,0.6709491191653596
b,-0.006043785084773001,0.04294088131717699,0.09435780229894597,0.6946686453573196
c,-0.03466234431731021,0.09494460844723236,2.6966806358965925,7.3395456797605965
pmax,0.0016290856454908634,0.015508108435416971,0.023689587591702886,0.06622894189584834
alpha,0.005624260876517214,0.015869526443999495,0.023713053642624545,0.05540995279402975
E,0.011493209144127624,0.0339354785823266,0.19909425955849133,0.46385299558186555
nu,0.0008456476981244014,0.004791865086877263,0.0005123962583816996,0.003096953136925132
h,0.03209014416885521,0.14271010002551593,0.2894241737307502,0.6735880129891001
theta_deg,-0.0006191600486754604,0.00193923758452031,0.0003683466738390444,0.0009612704382855226
x0_prime,-0.007793280159180111,0.11374678550154158,0.2712434914154237,2.4867562010832143
y0_prime,0.0009041294560958819,0.054106644252995245,0.1904748595712376,0.7113321219439724
