param,S1,S1_conf,ST,ST_conf
a,0.001843792511945607,0.018134364879900482,0.146079268677342,0.5606527733164062
b,-0.004709617592562731,0.029904820187305493,0.08123575396574942,0.4360763082485807
c,-0.031947221155505946,0.09500980694251371,2.080339352029739,5.973150886303538
pmax,0.001632635301825114,0.009852262655171841,0.022902401823755362,0.05827575339403131
alpha,0.0057631355781650176,0.012414741150065162,0.02178431964474949,0.05296132356141738
E,0.01534693648501502,0.04467659674887151,0.18878460832180988,0.4518335250856953
nu,0.0010650948449072606,0.004255323183409131,0.0005950617968351874,0.0024867230578214782
h,0.03347454410078063,0.120759826254052,0.26199425723233194,0.621913619784553
theta_deg,-0.000559071593419443,0.0015113589815748357,0.0002743939870391375,0.0007061512317405079
x0_prime,-0.007218317188644294,0.04373226628426663,0.20271980206676515,0.8861207393981885
y0_prime,0.0013226085145806908,0.047893946518005694,0.14862890317534322,0.5293985158852333
