param,S1,S1_conf,ST,ST_conf
a,0.0032360789440530275,0.014582023451746617,0.11876808545659892,0.8146083884377016
b,-0.002376519046989518,0.02550829693318422,0.017042235862686456,0.11379693412131399
c,-0.028056641522295533,0.12251363948182091,2.192913416860083,8.810500434195706
pmax,0.002498287433212844,0.012373258273175076,0.013112208552909623,0.06285022293708024
alpha,0.0031884239717649273,0.013322607595768268,0.0168882350998512,0.05999236216356747
E,0.0035553965541965603,0.053295766125919956,0.14236676914029406,0.685037328598956
nu,0.0005939513678573569,0.0036375855280481066,0.000327927652655488,0.0016205874755324456
h,0.017805340495642186,0.08759630115365928,0.1878708315133615,1.5060323596997096
theta_deg,0.0005676427354021936,0.002674403878352877,0.0008296178520483601,0.003232852121108134
x0_prime,-0.0009092441938445482,0.05394202464127194,0.031150729472124078,0.2807513176432734
y0_prime,-0.00794678985306795,0.06700827764741231,0.3525938635957388,1.250276167261837
