param,S1,S1_conf,ST,ST_conf
a,0.0046441024202507186,0.0468815588272423,0.1314265371459585,0.44503497841621975
b,-0.003985666804514257,0.06538000820958922,0.02130221074642123,0.3754347207890345
c,-0.05737259964002595,0.06880916830846431,7.29000026856646,8.384470927822738
pmax,0.0044955706783387376,0.02412673214866607,0.03713974003471512,0.061461158186464054
alpha,0.005578932873876206,0.02516953256320194,0.05585238259570929,0.07137693621905206
E,0.01679239408086377,0.06091515298929075,0.434278453107409,0.4681395782364093
nu,0.00039713838387252524,0.005161808005193411,0.00014095440512551857,0.0019144246555431866
h,0.025966230129460307,0.12757771686305178,0.6517755262656147,0.8835154474136324
theta_deg,-0.00017233067571476889,0.0026750168594345002,0.00015212100556942525,0.0012091971869370016
x0_prime,-0.000310541698261696,0.08770060501956223,0.023066030382652446,0.3917346583409358
y0_prime,0.0028454797971439187,0.12882021068405114,0.1634326014218094,0.954134108386314
