param,S1,S1_conf,ST,ST_conf
a,0.004355395269256733,0.03269421078553274,0.14058379814240268,0.43772307154526136
b,-0.002917071645115628,0.04743544158447658,0.02398525117960316,0.2904574781269436
c,-0.057861289579078136,0.07884137186247382,6.445742413826236,8.675391188036471
pmax,0.004607626107925841,0.014373759383491658,0.035442403524212907,0.051538931439670706
alpha,0.006075561372572092,0.015704068590232323,0.05122791168761806,0.05764469911194795
E,0.019682918602236362,0.043615217026085985,0.4029693643947674,0.4827989245730638
nu,0.0003779520661244207,0.003374836353322207,0.00010597495981494586,0.000881697421644363
h,0.03001497092710256,0.15099465927447941,0.5990394574616966,0.6445936336554897
theta_deg,-0.0002116847388605618,0.0008267028719013797,0.00012132033121621752,0.0001641002181090615
x0_prime,9.976381600150537e-05,0.032519090654648766,0.020827998448996205,0.1576489022545933
y0_prime,0.002708178361947751,0.043708306364099336,0.14635231749441557,0.28786774136883114
