Epsilon_XX_nanostrain_AVN2,Epsilon_XX_nanostrain_AVN87,Epsilon_XX_nanostrain_AVN32,Epsilon_XX_nanostrain_AVN31,Epsilon_XX_nanostrain_AVN22,Epsilon_YY_nanostrain_AVN2,Epsilon_YY_nanostrain_AVN87,Epsilon_YY_nanostrain_AVN32,Epsilon_YY_nanostrain_AVN31,Epsilon_YY_nanostrain_AVN22,Epsilon_ZZ_nanostrain_AVN2,Epsilon_ZZ_nanostrain_AVN87,Epsilon_ZZ_nanostrain_AVN32,Epsilon_ZZ_nanostrain_AVN31,Epsilon_ZZ_nanostrain_AVN22,Epsilon_XY_nanostrain_AVN2,Epsilon_XY_nanostrain_AVN87,Epsilon_XY_nanostrain_AVN32,Epsilon_XY_nanostrain_AVN31,Epsilon_XY_nanostrain_AVN22,Epsilon_XZ_nanostrain_AVN2,Epsilon_XZ_nanostrain_AVN87,Epsilon_XZ_nanostrain_AVN32,Epsilon_XZ_nanostrain_AVN31,Epsilon_XZ_nanostrain_AVN22,Epsilon_YZ_nanostrain_AVN2,Epsilon_YZ_nanostrain_AVN87,Epsilon_YZ_nanostrain_AVN32,Epsilon_YZ_nanostrain_AVN31,Epsilon_YZ_nanostrain_AVN22,Volume
1576475.3130245202,4651687.6713946955,2343751.0805738703,-1520806.9913469057,-697196.3775179514,-4492114.871486691,2510583.458850794,721914.1420306434,-3093452.404880702,1985747.9839008215,1135548.3581087359,7346281.692035838,-2515308.5967551684,-2941899.2723969733,360282.24946637836,-2631070.93167443,307846.5619451614,-2609569.6038007243,1648306.0803544903,-2665115.8336845883,-5060407.132059232,6540418.0860324595,1218949.9638131012,6235660.188348738,-405985.8650059923,2939509.636094883,-5298371.703656864,2652326.24432633,919689.7359638502,1074322.5791481815,546885.3394331045
22426747.059658233,125433.47371177247,-2884288.091409887,-668477.0975590604,-1513659.6303682167,-14589920.247784635,-3025471.059286076,26179214.6504317,2531249.8473231746,2676408.296426229,11394115.668681454,-5223317.098898158,18244633.44072417,-235120.79964641915,4852275.914496911,5590200.709667334,2863955.569620235,-21158172.14049261,5129934.197899735,-1445668.3552291468,-1903523.2486103307,5571066.465484873,-105484.70794280713,111914.64066791677,-3032715.897276177,6059882.889768134,1724490.875481518,-3582563.828131478,6586920.227441954,-1318369.31093081,546997.4234779639
47786781.79986631,1898329.7197817387,-7223401.633757295,-3669757.0370095978,-603580.8518657144,-27597455.62839139,4173699.789795956,38959346.22563981,3743548.821056107,7394916.383807968,22665983.20829938,3584105.945541331,38820302.360583626,-10379557.462413397,10535313.403706104,17107981.826694578,-646792.3083595459,-43085700.241244644,185446.77107246593,-5827459.5313392235,14198.388813343989,-790260.7930362392,-6565099.827139016,-2220804.5591707556,-5098580.212189082,-4439262.377439208,-2103100.5479154424,1687314.1660780436,2764775.952650925,2007677.617508365,547153.2326653603
73430518.4028337,-1995864.8247102993,-11240179.592628088,-4034223.558761618,-9586089.138656786,-42310892.32352963,-4866955.863889116,66677776.273803085,-2505104.548440805,17721859.987045668,32187445.191021997,-3009378.528643974,58574095.29467083,-3389805.8690038277,4323812.371768827,24041521.1786212,9565959.773349276,-67403705.89251967,2070901.7328440296,-298579.14101054356,145441.220270782,3083434.969384369,-288003.4597305151,679115.8358555239,645712.263260909,1786039.9208155244,1810880.5535302989,4583988.110997964,-1034745.8648406895,7205767.255417795,547283.9417619422
90719127.7400249,1640250.1349276311,-18405257.201836374,2261876.2229949613,-13154268.75378376,-53531381.03191432,1305571.8824546686,88947196.56572098,3190348.7809820417,20878218.994208343,34084715.237144664,1314274.7421350596,70625629.22606616,-986397.811784451,17773039.560386922,29406093.283238564,707260.020008875,-89221339.2749526,3251645.6504881084,-582586.1725562087,-1433309.571869274,2048106.4870858158,-4147007.062621321,-356528.0533289863,-2400568.300387866,-2065969.608005011,-2422557.983382576,-7832889.951179397,3812409.198720599,575907.5986581217,547384.4933233502
113584751.24071676,4562067.41600184,-19425537.747908976,3908289.5100955744,-14827812.17068263,-64991984.14384667,6255835.652057563,112634328.74151708,1476059.8648426044,29250409.113602087,45094989.946477935,6971239.824239424,91982281.66536695,-4191217.911469601,7558449.9571299385,37212913.23807047,1021606.005717658,-108921460.78306021,53179.76766799996,2760764.842393919,1970695.7813218897,4343532.660752231,2116822.752157835,-701340.564591272,-4514030.48136629,-1547236.2371763205,-5728499.140303751,-2514648.798764524,-1295169.1780258217,786178.2601822722,547504.1579941348
142205546.504908,1398991.9742641677,-22031047.577119213,-703933.2957535028,-12977087.538381945,-73542844.99146608,-3979271.749216489,128257723.77903585,2808228.034300521,33883135.749424994,59320382.793759115,4422156.187263989,110145324.01415221,4903767.407182521,16023065.275162276,48263709.357496575,9525870.393346772,-136185472.80713937,2303118.2687032977,3824800.4448090894,-3395754.495458096,-3062770.9418720156,1153205.2721748836,1949216.537773791,-2052182.6127086624,-1881577.1318937659,-5165687.120707926,1848968.4976899542,-6468635.384991586,-1459874.7044663692,547551.1692205296
162494690.17862216,7086421.937435291,-20642143.802493677,2630402.4913063375,-17486071.492567252,-92230033.08975476,-2772069.887075826,150023286.70894682,6252418.077124581,37546887.18652284,68930711.00103287,1500612.8000434716,128187952.5789078,-4862385.304499461,21122808.15699901,49699220.16409964,9337875.747078583,-157988139.47191542,1897172.9321965983,9151427.261978488,-460439.5113658864,2177058.134174182,-2995022.9125061445,2404148.270765785,-3432724.1703602923,-2743812.1183090624,152402.33732642612,-624065.9096946346,-3199495.1758702006,-2699519.4746430945,547609.2200196194
181434549.62611508,4829720.844168492,-26334846.347467847,513913.9452418984,-22857887.837236136,-105221566.85555826,-797725.3282383505,177901299.26486027,-513258.76291693945,40487333.29501161,78549008.80404991,3353955.0934030823,154473491.59031314,-1766206.7021083708,22898216.898054026,60681243.85703639,9781168.325704556,-177732912.29930514,2432527.541907272,6669972.868119137,372018.8011835835,3358850.3928115205,-1644657.7521765898,-1683749.5431558457,5354550.855567895,152088.18959015503,824069.2790911199,1201215.5922478093,-5937560.33964357,2632724.466961211,547645.916260564
207512123.9081225,6652256.826565375,-36449153.70522804,-2760566.6890960936,-22194584.800384317,-119530132.15334505,-2851184.5913268873,199217923.92179093,-2093463.3272234087,43763921.522477694,98756469.3954656,8484128.348584548,168764397.96862364,-843.298276918591,22780874.349923395,65671248.945601195,10769621.349496428,-198061737.1426323,-65546.91205088608,2279217.541366441,1621731.5651395102,-5582335.142098786,-3377200.9825775074,-1827582.3918422167,2798028.5362544935,-2639424.965641428,-2870397.3280863813,-1890754.3547666622,-1115665.6683779133,-2719972.791978739,547712.9446438504
