,Epsilon_XX_nanostrain_peak_abs_max,Epsilon_XX_nanostrain_rms_avg,Epsilon_YY_nanostrain_peak_abs_max,Epsilon_YY_nanostrain_rms_avg,Epsilon_ZZ_nanostrain_peak_abs_max,Epsilon_ZZ_nanostrain_rms_avg,Epsilon_XY_nanostrain_peak_abs_max,Epsilon_XY_nanostrain_rms_avg,Epsilon_XZ_nanostrain_peak_abs_max,Epsilon_XZ_nanostrain_rms_avg,Epsilon_YZ_nanostrain_peak_abs_max,Epsilon_YZ_nanostrain_rms_avg
a,0.011114933653875527,0.03712297867633085,0.02401949890051309,0.03654061481446956,0.0567060172056987,0.061438927810880326,0.018021579156184152,0.019414074097919218,0.054059787352752894,0.058573796770702215,0.03208410370061189,0.0336223991146924
b,0.0665387277898828,0.07958878403180288,0.06016886973258635,0.0767289012512705,0.06606728339633751,0.07508360352908502,0.08434645472619852,0.08412858484417313,0.04252253025902642,0.048287288097350486,0.06998821966081997,0.07158775309610181
c,0.04633666458165278,0.039056753580592345,0.013311892856120708,0.024262086109470418,0.009720388515338489,0.014511066497817885,0.05128449394088884,0.04631691474881081,-0.0015135756365643707,-0.00463528029912555,0.043491214000560684,0.042011947178103894
pmax,0.12780643234007974,0.10408182566204079,0.06835936643484933,0.06680864472231138,0.08301377804549247,0.08380136630785288,0.03779263818283859,0.03885254891240625,0.11967977766861199,0.10895957167010818,0.09626235498588784,0.09366417308166164
alpha,0.08180189377456029,0.12360774152469922,0.1262152414622915,0.14812817400910533,0.1120015435599325,0.12416705628169715,0.07374928242606305,0.0822103671825839,0.18309324556747456,0.19377011089090265,0.158707101723971,0.16167433107728055
E,-0.13445103303573008,-0.16601464547359637,-0.13512362150827026,-0.15675860966604593,-0.19088260661023043,-0.2017841942142034,-0.046466443008784206,-0.055324842075403995,-0.12186420584287776,-0.13590158329796176,-0.12933585937594183,-0.13158017171430608
nu,-0.11109030256606478,-0.1277896831864156,-0.16887209194432293,-0.1667228890526093,-0.10497906252500996,-0.1045939031468865,-0.16631771797567035,-0.16706259174121105,-0.15162876245366907,-0.15668384009663777,-0.06205563075296499,-0.06463996654136958
h,-0.3597627830378008,-0.37068676574710985,-0.32716690270838783,-0.3383261334580035,-0.30610962941244124,-0.32245086579705007,-0.2602899895966057,-0.2721120127866265,-0.315672172728708,-0.327795690797281,-0.31820755164917774,-0.3217089543903802
theta_deg,0.03581046773654346,0.05143739955079818,0.06363619687445067,0.06809677302138044,0.004003698315969538,0.013619157604674373,0.09481649207371272,0.09479124652323892,0.04689101320829833,0.05287890413825498,0.04811863081785514,0.05048516443521639
x0_prime,0.17399925432645738,0.17153578971051986,0.15624062577155293,0.15401298261425897,0.15348531019322456,0.15308548379472645,0.10777703235388096,0.10901155049589331,0.08077358905431943,0.09073374489702841,0.19453963444677771,0.19275920183273168
y0_prime,0.13749816256167507,0.12366519667446733,0.12142428041106648,0.1112923586016377,0.14021033525298296,0.13411420285507752,0.11575957814105091,0.11344373065598516,0.1797931237091742,0.173421346813596,0.11066835829652483,0.10980278407140716
