,Epsilon_XX_nanostrain_peak_abs_max,Epsilon_XX_nanostrain_rms_avg,Epsilon_YY_nanostrain_peak_abs_max,Epsilon_YY_nanostrain_rms_avg,Epsilon_ZZ_nanostrain_peak_abs_max,Epsilon_ZZ_nanostrain_rms_avg,Epsilon_XY_nanostrain_peak_abs_max,Epsilon_XY_nanostrain_rms_avg,Epsilon_XZ_nanostrain_peak_abs_max,Epsilon_XZ_nanostrain_rms_avg,Epsilon_YZ_nanostrain_peak_abs_max,Epsilon_YZ_nanostrain_rms_avg
a,0.21587939698492467,0.2261426535663392,0.21268881722043054,0.22334208355208882,0.2129843246081152,0.22317707942698572,0.15379584489612244,0.14876471911797795,0.1548308707717693,0.1549538738468462,0.19335633390834772,0.19181579539488489
b,0.23799744993624844,0.24942323558088955,0.23405685142128554,0.24628365709142733,0.22943073576839426,0.24303307582689568,0.15296182404560116,0.1528553213830346,0.18386559663991603,0.18104552613815347,0.19098477461936553,0.1896377409435236
c,0.1901957548938724,0.19661441536038402,0.18654166354158855,0.19638640966024154,0.16879921998049954,0.1841611040276007,0.10915322883072079,0.11047176179404487,0.10321308032700818,0.10511362784069603,0.12458711467786697,0.12420010500262509
pmax,0.34541963549088733,0.3534613365334134,0.33821645541138534,0.3493287332183305,0.3276921923048077,0.34554113852846324,0.28433960849021234,0.2789139728493213,0.2504387609690243,0.2510387759693992,0.293518337958449,0.29611790294757373
alpha,0.239929498237456,0.24956873921848052,0.2368499212480312,0.24686867171679297,0.2259941498537464,0.246051151278782,0.21083327083177084,0.2076066901672542,0.1730398259956499,0.1757218930473262,0.2335348383709593,0.23415585389634744
E,-0.25578939473486845,-0.26493662341558544,-0.2599069976749419,-0.2735993399834996,-0.2536713417835446,-0.2720153003825096,-0.17790144753618845,-0.1767284182104553,-0.20429910747768698,-0.20614715367884198,-0.17136128403210082,-0.17634290857271434
nu,-0.1293017325433136,-0.13341483537088428,-0.1321038025950649,-0.13436435910897773,-0.05194779869496738,-0.04623415585389636,-0.08172354308857722,-0.08117602940073503,-0.06709667741693544,-0.07047476186904672,-0.10013200330008253,-0.1008265206630166
h,-0.7186799669991751,-0.6955088877221931,-0.7257466436660918,-0.6984114602865074,-0.7460376509412736,-0.7077236930923273,-0.8414205355133879,-0.842428560714018,-0.8088982224555615,-0.8154668866721669,-0.7870546763669092,-0.795873396834921
theta_deg,0.10123603090077253,0.09754293857346436,0.10332858321458038,0.0985404635115878,0.1041731043276082,0.09793594839870998,0.0939833495837396,0.09377034425860648,0.1155778894472362,0.11231830795769897,0.06897622440561015,0.07500787519687994
x0_prime,0.03096977424435611,0.04815570389259732,0.016689417235430888,0.022677566939173485,0.03811295282382061,0.036339908497712445,-0.07691142278556964,-0.10353258831470788,-0.22036450911272784,-0.2069751743793595,0.03885697142428561,0.034853371334283366
y0_prime,-0.017442436060901526,-0.017314932873321837,-0.016498912472811822,-0.0029925748143703594,0.015972399309982753,0.0018330458261456538,-0.08753918847971201,-0.09357383934598366,0.014325358133953352,0.013705842646066151,-0.23595589889747245,-0.2122358058951474
