use_rotation,signs,sign_name,rmse,scalar
True,"[1, 1, -1, 1]","+eXX,+eYY,-eXY,+eZZ",74.33058307271826,0.9948269095175132
True,"[1, 1, 1, 1]","+eXX,+eYY,+eXY,+eZZ",74.34461099610637,0.9945656516667214
False,"[1, 1, 1, 1]","+eXX,+eYY,+eXY,+eZZ",76.49180350470434,0.954603936057864
False,"[1, 1, -1, 1]","+eXX,+eYY,-eXY,+eZZ",76.7296204988261,0.9500332416174032
False,"[1, -1, 1, 1]","+eXX,-eYY,+eXY,+eZZ",95.56591237871147,0.5429443628112854
False,"[1, -1, -1, 1]","+eXX,-eYY,-eXY,+eZZ",95.75636933001968,0.5383736683708246
True,"[1, -1, -1, 1]","+eXX,-eYY,-eXY,+eZZ",95.78545522629233,0.5376243619918494
True,"[1, -1, 1, 1]","+eXX,-eYY,+eXY,+eZZ",95.79634146010046,0.5373631041410575
False,"[-1, 1, 1, 1]","-eXX,+eYY,+eXY,+eZZ",102.63116306107467,0.3672957895357149
True,"[-1, 1, -1, 1]","-eXX,+eYY,-eXY,+eZZ",102.64597530205319,0.3670927280471948
True,"[-1, 1, 1, 1]","-eXX,+eYY,+eXY,+eZZ",102.6561340103056,0.36683147019640294
False,"[-1, 1, -1, 1]","-eXX,+eYY,-eXY,+eZZ",102.80853218366883,0.36272509509525414
True,"[1, 1, -1, -1]","+eXX,+eYY,-eXY,-eZZ",112.8948491965476,0.09037107732926099
True,"[1, 1, 1, -1]","+eXX,+eYY,+eXY,-eZZ",112.90408575132847,0.09010981947846912
False,"[1, 1, 1, -1]","+eXX,+eYY,+eXY,-eZZ",114.32938116942316,0.04893447815132457
False,"[1, 1, -1, -1]","+eXX,+eYY,-eXY,-eZZ",114.48862850551939,0.04436378371086375
False,"[-1, -1, 1, 1]","-eXX,-eYY,+eXY,+eZZ",117.53724191354056,-0.04436378371086375
False,"[-1, -1, -1, 1]","-eXX,-eYY,-eXY,+eZZ",117.69214882537293,-0.04893447815132457
True,"[-1, -1, -1, 1]","-eXX,-eYY,-eXY,+eZZ",119.10505488302121,-0.09010981947846912
True,"[-1, -1, 1, 1]","-eXX,-eYY,+eXY,+eZZ",119.11380987492426,-0.09037107732926099
False,"[1, -1, 1, -1]","+eXX,-eYY,+eXY,-eZZ",127.87906397826234,-0.36272509509525414
False,"[1, -1, -1, -1]","+eXX,-eYY,-eXY,-eZZ",128.02145782035169,-0.3672957895357149
True,"[1, -1, -1, -1]","+eXX,-eYY,-eXY,-eZZ",128.04321468976403,-0.36683147019640294
True,"[1, -1, 1, -1]","+eXX,-eYY,+eXY,-eZZ",128.05135857272705,-0.3670927280471948
False,"[-1, 1, 1, -1]","-eXX,+eYY,+eXY,-eZZ",133.24176157064966,-0.5383736683708246
True,"[-1, 1, -1, -1]","-eXX,+eYY,-eXY,-eZZ",133.2531712226417,-0.5373631041410575
True,"[-1, 1, 1, -1]","-eXX,+eYY,+eXY,-eZZ",133.26099671367754,-0.5376243619918494
False,"[-1, 1, -1, -1]","-eXX,+eYY,-eXY,-eZZ",133.37843035866567,-0.5429443628112854
False,"[-1, -1, 1, -1]","-eXX,-eYY,+eXY,-eZZ",145.03521859128944,-0.9500332416174032
False,"[-1, -1, -1, -1]","-eXX,-eYY,-eXY,-eZZ",145.16078427149216,-0.954603936057864
True,"[-1, -1, -1, -1]","-eXX,-eYY,-eXY,-eZZ",146.30866513596672,-0.9945656516667214
True,"[-1, -1, 1, -1]","-eXX,-eYY,+eXY,-eZZ",146.31579237423605,-0.9948269095175132
