parameter,label,baseline_value,best_value,baseline_rmse,best_rmse,improvement_pct
nu,Poisson ratio ν,0.25,0.35,46.658987836653566,25.811989388141356,44.67949138008429
alpha,Biot coefficient α,1.0,0.74375,46.658987836653566,38.7599343359834,16.929328875121808
a_fixed,Semi-axis a (m),136.229,102.5,46.658987836653566,38.11489385376789,18.31178595814664
b_fixed,Semi-axis b (m),68.5495,55.0,46.658987836653566,38.759605064865234,16.930034572209195
c_fixed,Semi-axis c (m),20.0,15.0,46.658987836653566,38.72170828226671,17.011255328071268
x0_prime,Center x₀′ (m),0.0,0.0,46.658987836653566,46.658987836653566,0.0
y0_prime,Center y₀′ (m),0.0,0.0,46.658987836653566,46.658987836653566,0.0
h,Depth h (m),531.0,564.1875,46.658987836653566,41.49332102936528,11.071107726066717
pmax,Peak pressure pmax (MPa),450000.0,323437.5,46.658987836653566,39.120238080552426,16.157122358704445
tpeak,Time to peak tpeak (hours),393333.0,589999.5,46.658987836653566,41.4789693853249,11.101866310223373
d,Decay rate d,0.4,1.6,46.658987836653566,43.05362926308367,7.727039828192885
E,Young’s modulus E (GPa),2000000000.0,2828427124.7461905,46.658987836653566,39.35935178741019,15.64465151879924
theta_deg,Rotation angle θ (deg),15.0,90.0,46.658987836653566,46.2185508981171,0.9439487630515502
