parameter,label,value,value_plot,strain_rmse,volume_rmse,baseline_value,baseline_value_plot
nu,Poisson ratio ν,0.15,0.15,62.008211161291996,,0.25,0.25
nu,Poisson ratio ν,0.1625,0.1625,60.021097264803544,,0.25,0.25
nu,Poisson ratio ν,0.175,0.175,58.106057307968534,,0.25,0.25
nu,Poisson ratio ν,0.1875,0.1875,56.27964645374991,,0.25,0.25
nu,Poisson ratio ν,0.19999999999999998,0.19999999999999998,54.56045845807587,,0.25,0.25
nu,Poisson ratio ν,0.2125,0.2125,52.969209178505736,,0.25,0.25
nu,Poisson ratio ν,0.22499999999999998,0.22499999999999998,51.528715110186134,,0.25,0.25
nu,Poisson ratio ν,0.2375,0.2375,50.263716822405804,,0.25,0.25
nu,Poisson ratio ν,0.25,0.25,49.20049579884035,,0.25,0.25
nu,Poisson ratio ν,0.26249999999999996,0.26249999999999996,48.36624510241615,,0.25,0.25
nu,Poisson ratio ν,0.27499999999999997,0.27499999999999997,47.78818577783242,,0.25,0.25
nu,Poisson ratio ν,0.2875,0.2875,47.49247408121877,,0.25,0.25
nu,Poisson ratio ν,0.3,0.3,47.50301219924258,,0.25,0.25
nu,Poisson ratio ν,0.3125,0.3125,47.8403374356733,,0.25,0.25
nu,Poisson ratio ν,0.32499999999999996,0.32499999999999996,48.52079408952343,,0.25,0.25
nu,Poisson ratio ν,0.33749999999999997,0.33749999999999997,49.55616571407243,,0.25,0.25
nu,Poisson ratio ν,0.35,0.35,50.95386164013024,,0.25,0.25
alpha,Biot coefficient α,0.32000000000000006,0.32000000000000006,72.31635644128536,,0.8,0.8
alpha,Biot coefficient α,0.38000000000000006,0.38000000000000006,68.15388181110433,,0.8,0.8
alpha,Biot coefficient α,0.44000000000000006,0.44000000000000006,64.24162043280234,,0.8,0.8
alpha,Biot coefficient α,0.5000000000000001,0.5000000000000001,60.62802964532033,,0.8,0.8
alpha,Biot coefficient α,0.56,0.56,57.369575163554785,,0.8,0.8
alpha,Biot coefficient α,0.6200000000000001,0.6200000000000001,54.5299580336443,,0.8,0.8
alpha,Biot coefficient α,0.6800000000000002,0.6800000000000002,52.17760520363676,,0.8,0.8
alpha,Biot coefficient α,0.7400000000000002,0.7400000000000002,50.380816183875794,,0.8,0.8
alpha,Biot coefficient α,0.8000000000000002,0.8000000000000002,49.20049579884034,,0.8,0.8
alpha,Biot coefficient α,0.8600000000000002,0.8600000000000002,48.681504981679204,,0.8,0.8
alpha,Biot coefficient α,0.9200000000000002,0.9200000000000002,48.844928709561394,,0.8,0.8
alpha,Biot coefficient α,0.9800000000000002,0.9800000000000002,49.684033521186045,,0.8,0.8
alpha,Biot coefficient α,1.0400000000000003,1.0400000000000003,51.16558712804797,,0.8,0.8
alpha,Biot coefficient α,1.1,1.1,53.235978607636426,,0.8,0.8
alpha,Biot coefficient α,1.1600000000000001,1.1600000000000001,55.8297369096336,,0.8,0.8
alpha,Biot coefficient α,1.2200000000000002,1.2200000000000002,58.8777345132811,,0.8,0.8
alpha,Biot coefficient α,1.2800000000000002,1.2800000000000002,62.31335099611677,,0.8,0.8
a_fixed,Semi-axis a (m),50.0,50.0,75.42632744577182,,150.0,150.0
a_fixed,Semi-axis a (m),65.625,65.625,69.35320076405625,,150.0,150.0
a_fixed,Semi-axis a (m),81.25,81.25,63.824260828316085,,150.0,150.0
a_fixed,Semi-axis a (m),96.875,96.875,58.96481893922119,,150.0,150.0
a_fixed,Semi-axis a (m),112.5,112.5,54.91062025674321,,150.0,150.0
a_fixed,Semi-axis a (m),128.125,128.125,51.794369639161275,,150.0,150.0
a_fixed,Semi-axis a (m),143.75,143.75,49.7226228732146,,150.0,150.0
a_fixed,Semi-axis a (m),159.375,159.375,48.74763703198614,,150.0,150.0
a_fixed,Semi-axis a (m),175.0,175.0,48.84646345973045,,150.0,150.0
a_fixed,Semi-axis a (m),190.625,190.625,49.92030168839999,,150.0,150.0
a_fixed,Semi-axis a (m),206.25,206.25,51.81595370225565,,150.0,150.0
a_fixed,Semi-axis a (m),221.875,221.875,54.35763376430478,,150.0,150.0
a_fixed,Semi-axis a (m),237.5,237.5,57.37461014672055,,150.0,150.0
a_fixed,Semi-axis a (m),253.125,253.125,60.71758661495841,,150.0,150.0
a_fixed,Semi-axis a (m),268.75,268.75,64.26462859430254,,150.0,150.0
a_fixed,Semi-axis a (m),284.375,284.375,67.92061175074427,,150.0,150.0
a_fixed,Semi-axis a (m),300.0,300.0,71.61378648694388,,150.0,150.0
b_fixed,Semi-axis b (m),50.0,50.0,83.82056876300918,,290.0,290.0
b_fixed,Semi-axis b (m),78.125,78.125,76.72321054611035,,290.0,290.0
b_fixed,Semi-axis b (m),106.25,106.25,70.16537296113914,,290.0,290.0
b_fixed,Semi-axis b (m),134.375,134.375,64.2823908963227,,290.0,290.0
b_fixed,Semi-axis b (m),162.5,162.5,59.20552942260264,,290.0,290.0
b_fixed,Semi-axis b (m),190.625,190.625,55.05932223436805,,290.0,290.0
b_fixed,Semi-axis b (m),218.75,218.75,51.954734929236295,,290.0,290.0
b_fixed,Semi-axis b (m),246.875,246.875,49.97594780368691,,290.0,290.0
b_fixed,Semi-axis b (m),275.0,275.0,49.16240960646565,,290.0,290.0
b_fixed,Semi-axis b (m),303.125,303.125,49.493525538584876,,290.0,290.0
b_fixed,Semi-axis b (m),331.25,331.25,50.8852570489151,,290.0,290.0
b_fixed,Semi-axis b (m),359.375,359.375,53.20179969872774,,290.0,290.0
b_fixed,Semi-axis b (m),387.5,387.5,56.27633721789031,,290.0,290.0
b_fixed,Semi-axis b (m),415.625,415.625,59.93161975156571,,290.0,290.0
b_fixed,Semi-axis b (m),443.75,443.75,63.99493111091673,,290.0,290.0
b_fixed,Semi-axis b (m),471.875,471.875,68.30706649793258,,290.0,290.0
b_fixed,Semi-axis b (m),500.0,500.0,72.7272473178462,,290.0,290.0
c_fixed,Semi-axis c (m),1.0,1.0,72.31677677220421,,2.5,2.5
c_fixed,Semi-axis c (m),2.1875,2.1875,51.51386406968534,,2.5,2.5
c_fixed,Semi-axis c (m),3.375,3.375,52.484545860524086,,2.5,2.5
c_fixed,Semi-axis c (m),4.5625,4.5625,74.38416272211155,,2.5,2.5
c_fixed,Semi-axis c (m),5.75,5.75,104.83084803819531,,2.5,2.5
c_fixed,Semi-axis c (m),6.9375,6.9375,138.29352032824303,,2.5,2.5
c_fixed,Semi-axis c (m),8.125,8.125,173.03467579987972,,2.5,2.5
c_fixed,Semi-axis c (m),9.3125,9.3125,208.4195142579057,,2.5,2.5
