param,S1,S1_conf,ST,ST_conf
a,0.0009287519374322069,0.01672500532121344,0.4288342841102155,0.7754363805387139
b,-0.004437812176046662,0.025331565002541197,0.07963701947605908,0.19495277432385646
c,-0.050197193337508196,0.08001869992349622,2.7618489485851336,4.377701501994996
pmax,0.0036804489882445476,0.010369664893318191,0.05015467489980818,0.05161391917457887
alpha,0.008195547010305825,0.013196169326541718,0.03764751114883467,0.044474728411785805
E,0.027693727464226697,0.04331206425073935,0.4064436971193671,0.4127897432915572
nu,0.0018218605868606152,0.002980257599421537,0.0011323781091294703,0.0016579400960720983
h,0.0687542005178397,0.1189388651162809,0.5104920470144574,0.49094428227413667
theta_deg,-0.00014493050031334691,0.0012251859497307393,0.00024569366027568505,0.0005299137222563412
x0_prime,-0.00022931856953587972,0.02378581112447827,0.07671548237489914,0.18779629997303687
y0_prime,0.0025077539579100284,0.013481372334312652,0.05084671045838164,0.0685608117605384
