param,S1,S1_conf,ST,ST_conf
a,0.0004123021621968782,0.005859219500453837,0.01642126465305433,0.42413530277052613
b,-0.003120624978259552,0.03662018904416444,0.10423739485034066,1.1358916884599872
c,-0.0016373880216758968,0.058969530632220976,0.030911981538191836,0.9067079417323702
pmax,-0.0005577417273304543,0.00829665686075767,0.006095493888365332,0.06612295827895662
alpha,0.001392286402390019,0.01525391283894841,0.0035307163173244243,0.04957378098962803
E,0.0002077593572902291,0.05440461435618987,0.0339023869900982,1.0257844401821938
nu,0.0002552077409862275,0.0022527189640966054,0.000314485721271402,0.0033452051754642416
h,0.01338188072057268,0.20925292420278765,0.04796625835804238,0.5690690624694642
theta_deg,0.001107743097373439,0.012103047681812855,0.013458062187360653,0.14710361717036236
x0_prime,-0.0011124960153499853,0.055536012765096725,0.07786073595186499,1.712007760617761
y0_prime,-0.0018765078049282496,0.06556620953901109,0.10665838184916625,1.7290869201144285
