param,S1,S1_conf,ST,ST_conf
a,0.003913332249062309,0.02184738637514111,0.041953628410545354,0.1295375828754005
b,-0.0031739348231575996,0.027311534705562922,0.026995975740722742,0.11676538348905739
c,-0.04559040722629197,0.12544146943757098,4.326468548952183,11.122630065808675
pmax,0.0018079866627809837,0.010524130930106729,0.017232269127243842,0.038748027519846906
alpha,0.00439436478233345,0.013046526223003046,0.023324180634839063,0.05287995161192817
E,0.011050375902491196,0.0327189167816994,0.20135203283686992,0.44241708272776575
nu,0.0005906404133269377,0.0017964250738252152,0.00025694988093004264,0.0011882026115320788
h,0.01991392315743414,0.08363745381659046,0.3497287727257535,1.1576012398112312
theta_deg,0.0018401771509747665,0.004243167094416479,0.004138294707223778,0.010092145479281096
x0_prime,-0.010594951674947173,0.025587099697467666,0.12633584753222413,0.2853398881742938
y0_prime,0.0023148613412473876,0.025988612232054464,0.05349853628677126,0.32170465357532774
