param,S1,S1_conf,ST,ST_conf
a,0.0035444767659386003,0.014483874759647776,0.10052060485943748,0.4872199416647097
b,-0.0023773886571809484,0.01731515559912012,0.017451164474030934,0.10132729696313536
c,-0.02871569671927903,0.13919704445054315,2.3624747301533513,11.048124432942089
pmax,0.0025791039115422806,0.008831693374915059,0.01229375484624993,0.04910390076438136
alpha,0.003094237206039867,0.01650021111344866,0.017755630331648484,0.07950339241763424
E,0.003477539480709213,0.05142073973278627,0.13874876213849985,0.6823299256148692
nu,0.0005834470798340461,0.0031310290519695008,0.0003348913150117572,0.001787583111695544
h,0.013853435383299577,0.07148112174873408,0.19408739472831138,0.8839982937199128
theta_deg,0.0005962850656992706,0.0030472344649679437,0.0009172767952732828,0.004179293966946196
x0_prime,-0.0011046250256413295,0.02587714699496474,0.033403606897971234,0.20115504637268103
y0_prime,-0.007726672451806354,0.052791765632170376,0.39326216934624414,1.636688829415402
